estID,est_name,full_ecosystem_type_name,efz_ha,Cumulative Pressure Level,pressure_2025_flow_modification,pressure_artificial_breaching,pressure_2018_Flow_modification,pressure_2025_pollution,pressure_2018_Pollution,pressure_2025_habitat_loss,pressure_2025_fishing_effort_DEFF,pressure_2018_fishing_effort_DEFF,pressure_2011_fishing_effort_DEFF,pressure_invasive_alien_plants,Pressure_alien_fish,OUTLET_IDw,NAME,LONGdd,LATdd,EcoType_na,RLE_NBA18,PL_NBA18,PES2018,type,zone,extent,RLE,EPL,RLE_EPL,realm,protection_level,threat_status
37,Duiwenhoks,2 Warm Temperate - Predominantly Open,441.4,Medium,High,,High,Medium,Medium,Medium,High,High,High,Medium,High,69,Duiwenhoks,21.001182,-34.36502972,Warm Temperate Predominantly Open,Vulnerable,Poorly,C,Warm Temperate Predominantly Open,WTemp,176.692482939,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
38,Goukou,2 Warm Temperate - Predominantly Open,438.7,Medium,High,,High,Medium,Medium,Medium,High,High,High,Medium,High,70,Goukou,21.423527,-34.37835194,Warm Temperate Predominantly Open,Vulnerable,Poorly,C,Warm Temperate Predominantly Open,WTemp,176.692482939,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
39,Gouritz,2 Warm Temperate - Predominantly Open,1099.7,Medium,Very high,,Very high,Low,Low,Very high,Very high,High,High,Medium,Very high,71,Gouritz,21.885904,-34.34534083,Warm Temperate Predominantly Open,Vulnerable,Poorly,C/D,Warm Temperate Predominantly Open,WTemp,176.692482939,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
40,Blinde,2 Warm Temperate - Small Temporarily Closed,19.9,Medium,Medium,,High,Very high,High,Low,Low,Low,Low,High,,72,Blinde,22.012947,-34.21085,Warm Temperate Small Temporarily Closed,Least Concern,Well,B/C,Warm Temperate Small Temporarily Closed,WTemp,16.1027211742,LC,MP,LC_MP,est,Moderately Protected,Least Concern
41,Tweekuilen,2 Warm Temperate - Small Temporarily Closed,23.2,Very high,High,,High,Very high,Very high,High,Low,Low,Low,,,73,Tweekuilen,22.11169722,-34.15153056,Warm Temperate Small Temporarily Closed,Least Concern,Well,D/E,Warm Temperate Small Temporarily Closed,WTemp,16.1027211742,LC,MP,LC_MP,est,Moderately Protected,Least Concern
42,Gericke,2 Warm Temperate - Small Temporarily Closed,8.7,Very high,High,,High,Very high,Very high,High,Low,Low,Low,,,74,Gericke,22.11041667,-34.14398611,Warm Temperate Small Temporarily Closed,Least Concern,Well,D/E,Warm Temperate Small Temporarily Closed,WTemp,16.1027211742,LC,MP,LC_MP,est,Moderately Protected,Least Concern
43,Hartenbos,2 Warm Temperate - Large Temporarily Closed,306.1,High,Medium,High,Medium,Very high,Very high,High,Low,Low,Low,Medium,High,75,Hartenbos,22.125782,-34.115112,Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,D,Warm Temperate Large Temporarily Closed,WTemp,69.2596673221,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
44,Klein Brak,2 Warm Temperate - Large Temporarily Closed,1021.7,Medium,High,Medium,High,Low,Low,High,High,Medium,Medium,High,High,76,Klein Brak,22.148586,-34.09293,Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,C,Warm Temperate Large Temporarily Closed,WTemp,69.2596673221,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
45,Groot Brak,2 Warm Temperate - Large Temporarily Closed,318.1,High,Medium,High,Medium,High,High,High,Medium,Medium,Medium,High,High,77,Groot Brak,22.23929197,-34.057254,Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,D,Warm Temperate Large Temporarily Closed,WTemp,69.2596673221,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
46,Maalgate,2 Warm Temperate - Large Temporarily Closed,34.4,Low,High,,High,Low,Low,Low,Low,Low,Low,High,,79,Maalgate,22.35443897,-34.05438997,Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,B,Warm Temperate Large Temporarily Closed,WTemp,69.2596673221,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
47,Gwaing,2 Warm Temperate - Small Temporarily Closed,21.8,Medium,Low,,Low,Very high,Very high,Low,Low,Low,Low,High,High,80,Gwaing,22.434139,-34.05646897,Warm Temperate Small Temporarily Closed,Least Concern,Well,B/C,Warm Temperate Small Temporarily Closed,WTemp,16.1027211742,LC,MP,LC_MP,est,Moderately Protected,Least Concern
48,Kaaimans,2 Warm Temperate - Predominantly Open,40.6,Low,High,,High,Low,Low,Low,Low,Low,Low,High,,84,Kaaimans,22.55705597,-33.99781389,Warm Temperate Predominantly Open,Vulnerable,Poorly,B,Warm Temperate Predominantly Open,WTemp,176.692482939,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
49,Touw/Wilderness,2 Warm Temperate - Estuarine Lake,1180.4,Medium,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,85,Touw/Wilderness,22.58112697,-33.99575778,Warm Temperate Estuarine Lake,Endangered,Moderately,B/C,Warm Temperate Estuarine Lake,WTemp,143.423569509,EN,MP,EN_MP,est,Moderately Protected,Endangered
50,Swartvlei,2 Warm Temperate - Estuarine Lake,2168.2,Low,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,Medium,Medium,86,Swartvlei,22.79625597,-34.031516,Warm Temperate Estuarine Lake,Endangered,Moderately,B/C,Warm Temperate Estuarine Lake,WTemp,143.423569509,EN,MP,EN_MP,est,Moderately Protected,Endangered
51,Goukamma,2 Warm Temperate - Large Temporarily Closed,299.2,Low,Low,,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,87,Goukamma,22.94913497,-34.07716097,Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,A/B,Warm Temperate Large Temporarily Closed,WTemp,69.2596673221,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
