"","Estuary name","Estuary type","Estuary functional type","Protection level","Threat status","Condition","Extent (ha)"
"178","Lwandile","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",100.5
"179","Mtakatye","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",247.8
"180","Hluleka","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",30.1
"181","Mnenu","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",197
"182","Mtonga","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",56.2
"183","Mpande","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",51.3
"184","Sinangwana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",123.1
"185","Mngazana","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",770.6
"186","Mngazi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",434.3
"187","Gxwaleni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",16.1
"188","Bulolo","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",13.2
"189","Mtumbane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",15.5
"190","Mzimvubu","Subtropical Large Fluvially Dominated","Subtropical","Poorly Protected","Endangered","Near-natural",842.7
"191","Ntlupeni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",30.8
"192","Nkodusweni","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",100
"193","Mntafufu","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",277.5
"194","Ingo","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",34.7
"195","Mzintlava","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",108.9
"196","Mzimpunzi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",67.8
"197","Kwanyambalala","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",24.8
"198","Mbotyi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",64.1
"199","Mkozi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",38.1
"200","Sikatsha","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",13.3
"201","Lupatana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",14.5
"202","Mkweni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",15.4
"203","Msikaba","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",142
"204","Mgwegwe","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",19.4
"205","Mgwetyana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",22.1
"206","Mtentu","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",92.8
"207","Sikombe","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",102.1
"208","Kwanyana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",57.8
"209","Mtolane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",46.5
"210","Mnyameni","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",87.5
