"","EST_IDw","OUTLET_IDw","NAME","LONGdd","LATdd","EcoType_na","RLE_NBA18","PL_NBA18","PES2018","type","zone","extent","RLE","EPL","RLE_EPL","realm","protection_level","threat_status","est_name","full_ecosystem_type_name","efz_ha","2025_est_condition","2018_est_condition","2011_est_condition","condition","condition_100km_zones"
"63",63,111,"Elands",24.079086,-34.04398297,"Warm Temperate Small Fluvially Dominated","Least Concern","Well","A","Warm Temperate Small Fluvially Dominated","WTemp",1.22435829857,"LC","WP","LC_WP","est","Well Protected","Least Concern","Elands","2 Warm Temperate - Small Fluvially Dominated",31.1,89.2040189595638,93.1790189595638,86.775,"Near-natural",75.9608259188482
"64",64,112,"Groot (Oos)",24.19501897,-34.05989497,"Warm Temperate Small Fluvially Dominated","Least Concern","Well","A/B","Warm Temperate Small Fluvially Dominated","WTemp",1.22435829857,"LC","WP","LC_WP","est","Well Protected","Least Concern","Groot (Oos)","2 Warm Temperate - Small Fluvially Dominated",30.3,89.994501654834,89.519501654834,78.95,"Natural",75.9608259188482
"65",65,117,"Tsitsikamma",24.438326,-34.135593,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Tsitsikamma","2 Warm Temperate - Small Temporarily Closed",67.4,76.85,80,80,"Near-natural",75.9608259188482
"66",66,118,"Klipdrif (Oos)",24.637049,-34.17236694,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B/C","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Klipdrif (Oos)","2 Warm Temperate - Small Temporarily Closed",66.8,69.4,76.8911764705882,55.375,"Moderately modified",75.9608259188482
"67",67,119,"Slang",24.65370197,-34.17412889,"Warm Temperate Small Temporarily Closed","Least Concern","Well","C/D","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Slang","2 Warm Temperate - Small Temporarily Closed",42.8,62.05,61.3,51.625,"Moderately modified",75.9608259188482
"68",68,120,"Kromme",24.842728,-34.14296697,"Warm Temperate Predominantly Open","Vulnerable","Poorly","D","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kromme","2 Warm Temperate - Predominantly Open",755.5,59.875,49.4625,49,"Heavily modified",57.5668214195842
"69",69,121,"Seekoei",24.910743,-34.08666997,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","D/E","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Seekoei","2 Warm Temperate - Large Temporarily Closed",322.4,42.15,42.325,42,"Heavily modified",57.5668214195842
"70",70,123,"Kabeljous",24.932503,-34.00880697,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","C","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kabeljous","2 Warm Temperate - Large Temporarily Closed",311.9,78.2666666666667,69.4990842911877,69.1,"Near-natural",57.5668214195842
"71",71,124,"Gamtoos",25.034714,-33.97042472,"Warm Temperate Predominantly Open","Vulnerable","Poorly","B/C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Gamtoos","2 Warm Temperate - Predominantly Open",2133.4,53.925,75.130507855917,73.575,"Heavily modified",57.5668214195842
"72",72,125,"Van Stadens",25.22034597,-33.97055389,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Van Stadens","2 Warm Temperate - Large Temporarily Closed",101.8,78.9763880409491,81.6063880409491,77.5,"Near-natural",57.5668214195842
"73",73,126,"Maitland",25.29195197,-33.98803694,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B/C","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Maitland","2 Warm Temperate - Large Temporarily Closed",67.6,77.4496726792101,77.8546726792101,70.6,"Near-natural",57.5668214195842
"74",74,127,"Baakens",25.630013,-33.96372972,"Warm Temperate Small Temporarily Closed","Least Concern","Well","E","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Baakens","2 Warm Temperate - Small Temporarily Closed",13.5,21.1525547445255,23.7025547445255,25.4,"Severely / critically modified ",46.5830566251599
"75",75,128,"Papkuils",25.613886,-33.917293,"Warm Temperate Small Temporarily Closed","Least Concern","Well","F","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Papkuils","2 Warm Temperate - Small Temporarily Closed",80.4,14.5171844131758,14.5171844131758,12.65,"Severely / critically modified ",46.5830566251599
