mapcode,ecotype,zone,extent,ets,epl,realm,threatened,rlm
SHsb3,Southern Benguela Intermediate Sandy Shore,Shore,32.3365615717474,NT,PP,Coastal Marine,0,M
SHsb4,Southern Benguela Reflective Sandy Shore,Shore,10.543340329831,EN,PP,Coastal Marine,1,M
SHi1,Agulhas Island,Shore,6.44674198801448,VU,WP,Coastal Marine,1,M
SHi2,Cape Island,Shore,2.95176447335229,EN,MP,Coastal Marine,1,M
Ags1,Eastern Agulhas Bay,Inner shelf and river influenced,1631.18822935712,EN,MP,Coastal Marine,1,M
Ags2,Western Agulhas Bay,Inner shelf and river influenced,819.733594067297,EN,PP,Coastal Marine,1,M
Cpe1,Cape Bay,Inner shelf and river influenced,254.36523253387,CR,PP,Coastal Marine,1,M
Ags22,False and Walker Bay,Inner shelf and river influenced,1681.22938636127,EN,PP,Coastal Marine,1,M
Cpe5,St Helena Bay,Inner shelf and river influenced,980.823124156415,EN,NP,Coastal Marine,1,M
Kf1,Agulhas Kelp Forest,Inner shelf and river influenced,12.3040435950156,VU,PP,Coastal Marine,1,M
Kf2,Cape Kelp Forest,Inner shelf and river influenced,9.7845713104048,VU,PP,Coastal Marine,1,M
Kf3,Namaqua Kelp Forest,Inner shelf and river influenced,7.36009090470201,VU,PP,Coastal Marine,1,M
Ags6,Agulhas Inner Shelf Mosaic,Inner shelf and river influenced,1853.57285690773,VU,MP,Coastal Marine,1,M
Ags5,Agulhas Inner Shelf Reef,Inner shelf and river influenced,17.6760227477687,LC,WP,Coastal Marine,0,M
Ntl1,Aliwal Shoal Reef Complex,Inner shelf and river influenced,5.21579499834488,CR,MP,Coastal Marine,1,M
Cpe2,Cape Rocky Inner Shelf,Inner shelf and river influenced,473.609909867424,VU,PP,Coastal Marine,1,M
NtB1,Durnford Inner Shelf Reef Complex,Inner shelf and river influenced,460.539430230572,EN,PP,Coastal Marine,1,M
Ags23,Kei Fluvial Fan,Inner shelf and river influenced,49.0154065005113,EN,MP,Coastal Marine,1,M
Dlg8,Kosi Coral Community,Inner shelf and river influenced,8.04203670348581,VU,WP,Coastal Marine,1,M
Dlg9,Leadsman Coral Community,Inner shelf and river influenced,12.4926190922383,VU,WP,Coastal Marine,1,M
Nmq5,Orange Cone Inner Shelf Mud Reef Mosaic,Inner shelf and river influenced,511.019418656815,CR,NP,Coastal Marine,1,M
Ntl13,Port St Johns Inner Shelf Mosaic,Inner shelf and river influenced,48.5420773199831,VU,MP,Coastal Marine,1,M
Dlg10,Sodwana Coral Community,Inner shelf and river influenced,5.96441864350722,VU,WP,Coastal Marine,1,M
Ntl5,Southern KZN Inner Shelf Mosaic,Inner shelf and river influenced,258.868157698594,EN,PP,Coastal Marine,1,M
Ntl17,Trafalgar Reef Complex,Inner shelf and river influenced,58.705205304486,EN,PP,Coastal Marine,1,M
Ntl10,Wild Coast Inner Shelf Mosaic,Inner shelf and river influenced,253.034456812489,VU,MP,Coastal Marine,1,M
Ags16,Agulhas Sandy Inner Shelf,Inner shelf and river influenced,521.54655904102,VU,MP,Coastal Marine,1,M
Cpe4,Cape Sandy Inner Shelf,Inner shelf and river influenced,526.200650557555,NT,PP,Coastal Marine,0,M
Dlg4,Delagoa Sandy Inner Shelf,Inner shelf and river influenced,172.701546121339,LC,WP,Coastal Marine,0,M
NtB6,KZN Bight Muddy Inner Shelf,Inner shelf and river influenced,328.747992106968,CR,MP,Coastal Marine,1,M
NtB9,KZN Bight Sandy Inner Shelf,Inner shelf and river influenced,145.873792380413,EN,PP,Coastal Marine,1,M
Nmq3,Namaqua Sandy Inner Shelf,Inner shelf and river influenced,760.246322097607,LC,MP,Coastal Marine,0,M
NtB10,St Lucia Sandy Inner Shelf,Inner shelf and river influenced,119.956175910939,LC,WP,Coastal Marine,0,M
NtB2,Durnford Mid Shelf Reef Complex,Inner shelf and river influenced,431.837393282035,VU,MP,Coastal Marine,1,M
Ntl3,Kei Reef Mosaic,Inner shelf and river influenced,93.6947599098899,EN,MP,Coastal Marine,1,M
NtB5,KZN Bight Mid Shelf Mosaic,Inner shelf and river influenced,534.671299105116,EN,PP,Coastal Marine,1,M
NtB4,KZN Bight Mid Shelf Reef Complex,Inner shelf and river influenced,22.9909236769553,EN,NP,Coastal Marine,1,M
NtB8,KZN Bight Outer Shelf Mosaic,Inner shelf and river influenced,655.790229207946,VU,PP,Coastal Marine,1,M
Nmq1,Namaqua Mid Shelf Fossils,Inner shelf and river influenced,20.067841270200802,LC,WP,Coastal Marine,0,M
Nmq2,Namaqua Muddy Mid Shelf Mosaic,Inner shelf and river influenced,11762.5068676088,LC,PP,Coastal Marine,0,M
NtB12,uThukela Mid Shelf Mosaic,Inner shelf and river influenced,789.363916237971,VU,MP,Coastal Marine,1,M
NtB14,uThukela Outer Shelf Muddy Reef Mosaic,Inner shelf and river influenced,531.750297505297,VU,MP,Coastal Marine,1,M
Ags9,Agulhas Muddy Mid Shelf,Inner shelf and river influenced,1732.35397257669,CR,PP,Coastal Marine,1,M
NtB7,KZN Bight Muddy Shelf Edge,Inner shelf and river influenced,515.728316435026,VU,MP,Coastal Marine,1,M
NtB3,KZN Bight Deep Shelf Edge,Inner shelf and river influenced,1761.23466780699,EN,PP,Coastal Marine,1,M
SoB7,Namaqua Muddy Sands,Inner shelf and river influenced,12168.9416239687,LC,NP,Coastal Marine,0,M
SHn5,Namaqua Sandy Mid Shelf,Inner shelf and river influenced,2853.16084359544,LC,PP,Coastal Marine,0,M
Nmq6,Orange Cone Muddy Mid Shelf,Inner shelf and river influenced,1925.36359377494,EN,NP,Coastal Marine,1,M
Ntl14,Port St Johns Muddy Mid Shelf,Inner shelf and river influenced,124.793408782948,VU,MP,Coastal Marine,1,M
Ntl15,Port St Johns Muddy Shelf Edge,Inner shelf and river influenced,129.382199805529,VU,MP,Coastal Marine,1,M
NtB11,St Lucia Sandy Mid Shelf,Inner shelf and river influenced,646.798293525038,VU,MP,Coastal Marine,1,M
NtB13,uThukela Mid Shelf Mud Coarse Sediment Mosaic,Inner shelf and river influenced,1348.69885270629,VU,MP,Coastal Marine,1,M
