I_Rlm_P,I_EcTy1,mapcode,Shap_Ar,type,zone,extent,Threat status,Protection level,realm
Estuary,Cool Temperate Large Temporarily Closed,CT5,7483.51723533,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,2728.08179665,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,11747.9481158,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,4401.420175,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,2898.42235214,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,398.994964433,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,987641.089583,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,24323.8669945,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,18135.9179975,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,52304.9949046,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,93742.4779244,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,633.062911163,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,102.580639058,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,1369.98536601,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,227.768523064,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,337518.831662,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,1587.89967218,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,2262494.32067,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,15711.2007228,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,2780.60413217,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,431.246919331,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,36.3819995597,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,9730.48171707,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
