mapcode,type,zone,extent,RLE,EPL,realm
SKr19,Aggeneys Gravel Vygieveld,Non-coastal,367.7144,LC,WP,ter
SKr2,Upper Annisvlakte Succulent Shrubland,Non-coastal,191.3312,CR,MP,ter
SKr3,Goariep Mountain Succulent Shrubland,Non-coastal,170.7376,LC,WP,ter
SKr4,Lekkersing Succulent Shrubland,Non-coastal,827.1612,LC,MP,ter
SKr5,Vyftienmyl se Berge Succulent Shrubland,Non-coastal,18.3652,LC,WP,ter
SKr6,Stinkfonteinberge Eastern Apron Shrubland,Non-coastal,65.8232,LC,WP,ter
SKr7,Northern Richtersveld Scorpionstailveld,Non-coastal,326.5544,EN,WP,ter
SKr8,Rosyntjieberg Succulent Shrubland,Non-coastal,50.5104,LC,WP,ter
SKr9,Tatasberg Mountain Succulent Shrubland,Non-coastal,3.2652,LC,WP,ter
SVcb11,Andesite Mountain Bushveld,Non-coastal,2493.6388,LC,PP,ter
SVk1,Mafikeng Bushveld,Non-coastal,12001.9708,LC,NP,ter
SVk18,Morokweng Thornveld,Non-coastal,953.0492,LC,NP,ter
SVk2,Stella Bushveld,Non-coastal,3227.4224,LC,NP,ter
SVk17,Vryburg Thornveld,Non-coastal,3751.572,LC,NP,ter
AZa5,Highveld Alluvial Vegetation,Non-coastal,2106.648,LC,PP,ter
FOa1,Lowveld Riverine Forest,Non-coastal,133.4168,VU,WP,ter
FOz8,Sand Forest,Non-coastal,244.2452,LC,WP,ter
FOz4,Northern Mistbelt Forest,Non-coastal,288.9104,LC,WP,ter
FOz9,Ironwood Dry Forest,Non-coastal,81.2604,LC,WP,ter
Gd10,Drakensberg Afroalpine Heathland,Non-coastal,2753.284,LC,WP,ter
Gd5,Northern Drakensberg Highland Grassland,Non-coastal,1116.0928,LC,WP,ter
Gd6,Drakensberg-Amathole Afromontane Fynbos,Non-coastal,21.5476,LC,WP,ter
Gd7,uKhahlamba Basalt Grassland,Non-coastal,1345.922,LC,WP,ter
Gh10,Vaal-Vet Sandy Grassland,Non-coastal,5813.4168,EN,NP,ter
Gh11,Vredefort Dome Granite Grassland,Non-coastal,416.9716,CR,NP,ter
Gh12,Vaal Reefs Dolomite Sinkhole Woodland,Non-coastal,221.1288,LC,NP,ter
Gh15,Carletonville Dolomite Grassland,Non-coastal,5468.9772,LC,PP,ter
Gh5,Bloemfontein Dry Grassland,Non-coastal,2576.7764,LC,PP,ter
Gh6,Central Free State Grassland,Non-coastal,10488.0812,LC,PP,ter
Gh7,Winburg Grassy Shrubland,Non-coastal,1286.1452,LC,PP,ter
Gh8,Bloemfontein Karroid Shrubland,Non-coastal,66.1308,LC,MP,ter
Gh9,Western Free State Clay Grassland,Non-coastal,5306.9972,LC,PP,ter
Gm10,Egoli Granite Grassland,Non-coastal,183.1432,CR,PP,ter
Gm11,Rand Highveld Grassland,Non-coastal,4209.3672,VU,PP,ter
Gm12,Eastern Highveld Grassland,Non-coastal,3707.4124,EN,PP,ter
Gm13,Amersfoort Highveld Clay Grassland,Non-coastal,2126.2596,LC,PP,ter
Gm14,Wakkerstroom Montane Grassland,Non-coastal,2950.1124,LC,PP,ter
Gm15,Paulpietersburg Moist Grassland,Non-coastal,1967.0736,EN,PP,ter
Gm16,KaNgwane Montane Grassland,Non-coastal,5328.8756,EN,PP,ter
Gm17,Barberton Montane Grassland,Non-coastal,805.2008,LC,WP,ter
Gm19,Sekhukhune Montane Grassland,Non-coastal,847.0616,LC,NP,ter
Gm20,Leolo Summit Sourveld,Non-coastal,18.3784,LC,NP,ter
Gm21,Lydenburg Thornveld,Non-coastal,1192.6756,LC,PP,ter
Gm22,Northern Escarpment Dolomite Grassland,Non-coastal,352.086,EN,PP,ter
Gm23,Northern Escarpment Quartzite Sourveld,Non-coastal,759.7868,LC,MP,ter
Gm24,Northern Escarpment Afromontane Fynbos,Non-coastal,9.3328,LC,WP,ter
Gm25,Woodbush Granite Grassland,Non-coastal,103.7852,CR,PP,ter
Gm26,Wolkberg Dolomite Grassland,Non-coastal,242.2212,LC,WP,ter
Gm27,Strydpoort Summit Sourveld,Non-coastal,261.144,LC,WP,ter
Gm28,Soutpansberg Summit Sourveld,Non-coastal,91.556,LC,WP,ter
Gm29,Waterberg-Magaliesberg Summit Sourveld,Non-coastal,502.7088,LC,WP,ter
Gm3,Eastern Free State Clay Grassland,Non-coastal,6008.3952,VU,NP,ter
Gm30,Steenkampsberg Montane Grassland,Non-coastal,2611.3308,LC,PP,ter
Gm31,Long Tom Pass Montane Grassland,Non-coastal,536.1616,LC,WP,ter
Gm4,Eastern Free State Sandy Grassland,Non-coastal,7447.7704,LC,PP,ter
Gm6,Frankfort Highveld Grassland,Non-coastal,5464.9784,LC,NP,ter
Gm7,Northern Free State Shrubland,Non-coastal,27.6196,LC,PP,ter
Gm8,Soweto Highveld Grassland,Non-coastal,5504.348,VU,NP,ter
Gm9,Tsakane Clay Grassland,Non-coastal,435.8432,EN,PP,ter
Gs1,Northern Zululand Mistbelt Grassland,Non-coastal,281.4492,EN,PP,ter
Gs2,Ithala Quartzite Sourveld,Non-coastal,1242.8228,LC,MP,ter
Gs3,Low Escarpment Moist Grassland,Non-coastal,1563.8912,LC,PP,ter
Gs4,Northern KwaZulu-Natal Moist Grassland,Non-coastal,4242.93,VU,PP,ter
Gs7,Income Sandy Grassland,Non-coastal,2366.6848,EN,NP,ter
Gs8,Mooi River Highland Grassland,Non-coastal,1664.26,EN,PP,ter
SVcb1,Dwaalboom Thornveld,Non-coastal,5108.8792,LC,MP,ter
SVcb10,Gauteng Shale Mountain Bushveld,Non-coastal,919.6632,EN,PP,ter
SVcb12,Central Sandy Bushveld,Non-coastal,10862.8848,LC,PP,ter
SVcb13,Loskop Mountain Bushveld,Non-coastal,1920.4356,LC,MP,ter
SVcb14,Loskop Thornveld,Non-coastal,441.2272,LC,PP,ter
SVcb15,Springbokvlakte Thornveld,Non-coastal,2856.3324,EN,PP,ter
SVcb16,Western Sandy Bushveld,Non-coastal,9880.8072,LC,MP,ter
SVcb17,Waterberg Mountain Bushveld,Non-coastal,8214.646,LC,MP,ter
SVcb18,Roodeberg Bushveld,Non-coastal,5101.8224,LC,MP,ter
SVcb19,Limpopo Sweet Bushveld,Non-coastal,10665.7168,LC,PP,ter
SVcb2,Madikwe Dolomite Bushveld,Non-coastal,1075.8564,LC,WP,ter
SVcb20,Makhado Sweet Bushveld,Non-coastal,6219.6988,EN,PP,ter
SVcb21,Soutpansberg Mountain Bushveld,Non-coastal,3045.662,LC,MP,ter
SVcb22,VhaVenda Miombo,Non-coastal,0.5316,LC,WP,ter
SVcb23,Polokwane Plateau Bushveld,Non-coastal,2519.1048,EN,PP,ter
SVcb24,Mamabolo Mountain Bushveld,Non-coastal,596.7168,LC,PP,ter
SVcb25,Poung Dolomite Mountain Bushveld,Non-coastal,823.9772,LC,MP,ter
SVcb26,Ohrigstad Mountain Bushveld,Non-coastal,1747.8652,LC,MP,ter
SVcb27,Sekhukhune Plains Bushveld,Non-coastal,1210.104,EN,PP,ter
SVcb28,Sekhukhune Mountain Bushveld,Non-coastal,1809.8568,LC,PP,ter
SVcb6,Marikana Thornveld,Non-coastal,708.9796,EN,PP,ter
SVcb7,Norite Koppies Bushveld,Non-coastal,360.9508,EN,PP,ter
SVcb8,Moot Plains Bushveld,Non-coastal,843.362,EN,PP,ter
SVcb9,Gold Reef Mountain Bushveld,Non-coastal,2593.0128,LC,MP,ter
